source_id,abs_mag,bp_rp,spectral_type,distance_pc,estimated_mass,is_sun_like
4145156057875448448,16.088067443677083,2.594017,M,56.6453821782258,0.07348407904077404,False
4145156607631209856,16.007541739628948,,M,59.07324826194926,0.07485931107879719,False
4145188287334294656,17.584123344270672,,M,34.88270306884978,0.052070010538493965,False
4145259996151890688,17.236590308883585,,M,45.980843951038274,0.056408034736591374,False
4145294630698389632,16.74586467626783,2.4760284,M,58.76612637792173,0.06315584240751487,False
4145368263664837888,16.452088707472463,,M,44.61425636377973,0.06757578964197908,False
4145870293808914688,12.35539412373311,3.2195606,M,7.97124899524026,0.17356437454584922,False
4145881117081973120,17.122543890076212,2.529993,M,41.4740858188252,0.057908939409722485,False
4146522407252617088,17.8247099305431,3.1181774,M,29.307772648381047,0.049263924609930655,False
4146589168204876928,13.825915475279945,3.393732,M,48.23162618889428,0.12371103845604126,False
4146801339628550144,12.07086362563077,2.7779665,M,25.76532796134872,0.1853163072043878,False
4147071853849885312,16.276596533221856,2.7849731,M,56.79769265907283,0.07036235175739046,False
4147116865083478912,10.367486731434306,2.7345018,M,37.62489128316527,0.27431611840994785,False
4147898549163769088,16.302971713558513,1.9564705,M,60.44119708437954,0.06993632842855008,False
4147907482697960832,18.66006973472352,,M,24.64703336843562,0.04064368029515917,False
4148014444533455488,16.964764062895544,,M,47.34686055984806,0.060051463189513064,False
4148321483162498304,17.60933971460075,2.06312,M,31.9157648849722,0.05176855329771388,False
4148408722509698432,16.815692832247485,,M,44.94428062689201,0.06214850940031784,False
4148512179754189952,16.863132182713514,1.8358479,M,51.506301230953184,0.06147333598904258,False
4148741256080129280,16.28161138755881,1.6611557,M,57.385652283920415,0.0702811503344562,False
4148788363296734976,15.604094893901268,1.793066,M,53.94997170177557,0.08214677357568524,False
4149208445458494080,17.397736387272577,1.574276,K,45.724053322556856,0.05435335561115286,False
4123671531981682560,17.259846128502314,1.892189,M,38.10722939281684,0.05610678544387811,False
4123683454892208768,15.303913977659162,1.4201851,K,57.41072145244583,0.08802552059644814,False
4123697679767379328,17.403322370530198,1.6882172,M,43.7346772495639,0.05428349016923325,False
4123699810108758784,16.285529277424928,1.7528534,M,59.59029625176433,0.07021777636739804,False
4123699947506850048,16.962684158033714,1.7539139,M,47.49793932659571,0.0600802296714369,False
